data
31
13
66
26
4
89
27
67
44
54
55
42
75
61
73
48
30
32
23
41
64
62
52
90
7
97
73
36
57
45
65
89
23
60
47
61
48
111
28
33
78
35
107
46
162
20
39
20
51
46
60
49
36
37
11
101
20
107
67
26
30
23
48
34
84
81
94
76
87
58
72
59
36
29
54
30
87
30
67
50
77
60
61
75
85
36
71
91
97
12
71
84
51
46
46
42
47
90
53
54
66
147
23
78
60
73
67
114
57
38
115
24
86
72
32
8
60
15
63
41
36
55
65
41
55
127
79
33
21
105
47
78
34
58
46
118
39
33
68
34
75
62
30
26
27
26
31
156
54
65
33
145
41
16
121
85
39
35
101
33
26
69
34
91
24
20
56
51
63
83
119
111
44
64
51
84
74
47
14
79
95
21
34
72
75
72
35
84
38
44
36
96
75
71
59
73
56
99
15
75
93
112
100
82
31
43
55
30
145
18
79
82
42
67
33
62
38
92
116
68
34
100
122
26
31
24
24
75
36
31
20
47
36
70
112
69
41
9
40
23
19
30
38
62
77
62
4
111
73
58
67
131
77
89
66
20
71
137
64
62
73
39
34
68
9
80
71
66
54
98
92
36
20
93
59
61
29
91
29
43
38
69
66
117
57
58
32
19
19
71
110
51
52
59
29
101
70
44
36
37
53
59
51
109
45
53
128
76
58
49
33
3
23
20
15
49
76
15
31
124
47
34
49
66
56
66
74
72
79
78
53
120
43
40
71
17
73
61
12
22
16
70
35
17
156
56
102
37
24
64
26
51
116
38
35
31
23
35
85
53
76
39
67
32
29
59
16
33
91
46
109
234
36
44
99
22
86
65
61
35
119
40
44
75
53
49
58
64
70
57
22
93
21
86
27
34
134
79
59
57
47
77
84
47
68
123
47
68
25
87
20
16
61
91
22
24
65
35
29
52
64
38
116
44
96
80
24
47
80
54
64
60
46
95
33
58
64
38
13
10
74
61
20
64
79
56
142
47
25
72
104
30
98
15
107
42
36
47
25
70
27
66
80
56
38
76
14
60
70
133
73
28
88
21
55
77
51
17
113
50
65
52
49
49
27
34
23
52
16
41
26
70
64
52
51
22
45
32
51
67
93
19
18
38
43
26
45
23
32
91
90
33
13
45
87
29
58
66
23
32
41
57
6
15
18
126
93
34
19
101
37
34
40
61
69
138
81
100
66
25
87
69
36
59
38
62
62
93
34
48
48
22
23
130
52
91
45
22
31
61
36
54
73
28
154
66
12
102
98
93
141
156
14
42
21
63
52
104
22
19
79
125
121
48
31
59
159
41
75
42
69
60
55
6
23
42
16
18
132
102
24
85
28
60
45
50
17
58
64
47
113
32
21
44
29
39
79
79
91
16
68
41
65
58
22
66
72
79
119
56
95
18
101
60
103
75
49
54
79
61
41
59
